Team,FG,FGA,2PA,3P,3PA,DRB,PTS,Pace,ORtg,eFG%,TS%,TOV%
ATL,37.6,81.0,57.8,8.6,23.2,31.6,98.0,92.6,104.8,0.517,0.546,14.2
ATL,36.2,78.4,61.0,6.1,17.4,30.0,95.0,89.3,106.1,0.501,0.542,13.5
LAL,42.9,89.0,57.8,10.8,31.2,35.7,117.2,101.3,114.5,0.542,0.582,12.3
ATL,41.5,88.3,53.9,12.9,34.4,33.9,113.9,97.7,116.5,0.543,0.581,10.8
CHO,42.8,91.4,53.3,13.9,38.2,33.7,115.3,100.0,114.1,0.544,0.572,11.6
DAL,41.7,90.3,49.0,15.1,41.3,36.4,117.0,99.3,116.7,0.545,0.581,11.2
PHI,41.1,87.9,56.3,11.6,31.6,35.0,110.7,99.0,111.3,0.534,0.566,12.7
WAS,39.9,85.6,59.1,9.9,26.5,33.1,106.6,96.6,109.3,0.525,0.56,13.3
ATL,38.1,84.4,58.3,8.9,26.1,34.1,103.2,97.4,104.9,0.504,0.541,14.2
MEM,36.4,83.6,57.1,9.4,26.5,32.0,100.5,92.3,107.7,0.491,0.535,12.1
CHA,36.3,82.1,64.1,6.3,17.9,33.2,96.9,92.4,103.6,0.481,0.522,11.7
UTA,37.1,81.8,64.9,6.2,16.9,30.0,98.0,90.9,106.7,0.492,0.533,13.8
HOU,38.7,85.1,62.6,8.3,22.5,31.1,105.9,94.2,111.3,0.503,0.55,12.3
MIN,42.9,87.4,54.1,12.2,33.3,32.8,115.8,101.0,113.7,0.56,0.592,13.6
NOP,42.0,87.6,57.5,11.0,30.1,33.1,114.4,99.1,114.4,0.543,0.582,12.9
LAC,40.1,87.4,53.3,12.8,34.2,34.9,108.4,98.0,110.1,0.531,0.564,12.5
POR,41.3,91.1,50.3,15.7,40.8,33.9,116.1,98.4,117.8,0.54,0.577,9.9
ORL,40.4,89.1,57.0,11.4,32.1,35.4,107.3,98.1,108.9,0.518,0.55,11.9
BRK,40.3,89.7,53.6,12.8,36.2,35.6,112.2,100.8,109.6,0.52,0.556,13.0
LAC,40.3,85.4,58.6,9.5,26.8,33.7,109.0,98.7,110.3,0.527,0.564,13.2
IND,39.3,84.5,61.5,8.6,23.0,33.0,105.1,95.9,108.6,0.516,0.558,12.8
MIL,38.8,81.9,58.2,8.8,23.7,31.6,103.6,94.5,109.1,0.527,0.565,13.2
CHI,38.6,87.4,66.1,7.9,21.4,35.2,101.6,95.7,105.0,0.487,0.526,12.6
DAL,37.4,84.1,55.6,9.8,28.6,33.9,102.3,94.3,106.7,0.502,0.544,12.0
MEM,36.8,83.6,65.1,6.1,18.5,30.5,99.1,93.3,105.4,0.477,0.524,12.3
IND,35.7,81.4,65.3,5.9,16.1,31.4,97.7,90.7,106.7,0.474,0.526,13.1
NYK,38.3,83.7,58.4,9.3,25.4,30.1,106.5,95.6,110.9,0.513,0.561,12.6
TOR,41.9,91.3,59.3,10.7,32.0,30.3,112.9,97.1,115.5,0.517,0.555,10.3
ATL,44.6,92.4,61.8,10.8,30.5,33.2,118.4,100.7,116.6,0.541,0.579,11.2
ATL,40.8,87.2,53.9,12.4,33.4,35.1,113.7,97.6,115.7,0.539,0.581,11.9
NYK,39.4,86.5,56.4,11.8,30.0,35.5,107.0,95.9,110.6,0.524,0.559,11.9
DET,38.8,88.3,53.5,12.1,34.8,33.6,107.0,97.4,109.0,0.509,0.544,12.3
POR,39.5,86.1,58.4,10.4,27.7,33.5,107.9,96.7,110.3,0.52,0.559,12.5
CHI,38.6,87.1,64.8,7.6,22.3,34.1,102.9,95.3,107.4,0.487,0.53,12.3
MIA,39.0,85.8,58.8,9.9,27.0,33.0,103.2,95.2,107.8,0.512,0.541,12.4
HOU,37.7,83.5,52.6,10.7,30.9,31.7,106.5,97.6,108.3,0.516,0.553,14.2
WAS,39.5,85.8,61.6,8.6,24.2,32.8,104.1,98.5,105.3,0.511,0.544,13.1
MIL,37.6,82.0,63.7,6.6,18.3,31.4,97.8,94.1,102.7,0.499,0.536,15.5
BOS,37.0,79.7,62.6,6.1,17.2,31.3,96.5,91.7,103.1,0.503,0.542,14.1
DAL,38.8,84.0,64.2,7.4,19.9,32.6,101.1,94.1,105.9,0.506,0.544,13.0
LAL,36.8,80.6,63.7,5.5,16.8,34.1,97.3,90.5,106.0,0.491,0.534,14.2
MEM,36.7,82.2,69.3,4.2,12.9,29.5,95.0,90.8,104.0,0.473,0.515,13.6
PHI,38.1,82.6,67.4,5.4,15.2,31.4,99.0,91.7,106.6,0.494,0.535,12.3
CHI,42.5,86.8,57.9,10.4,28.9,33.9,113.1,98.5,113.5,0.55,0.587,12.2
OKC,43.1,92.6,58.5,12.1,34.1,32.3,117.5,101.1,115.2,0.531,0.57,11.2
MIA,39.2,83.7,47.5,12.9,36.2,33.5,108.1,96.6,111.2,0.546,0.581,13.1
DEN,41.2,87.7,58.9,10.6,28.8,34.6,111.7,98.3,113.2,0.53,0.568,13.2
UTA,36.1,80.4,56.5,8.5,23.9,32.5,97.7,91.0,105.9,0.501,0.54,14.2
BOS,38.9,87.9,63.3,8.0,24.6,32.7,101.4,95.8,104.7,0.489,0.523,12.5
MIN,38.9,87.5,66.1,7.3,21.4,32.2,106.9,97.3,108.9,0.486,0.535,12.2
ATL,36.8,81.0,60.9,7.5,20.2,31.3,96.6,90.2,104.9,0.5,0.535,13.4
LAC,37.0,81.3,59.5,7.8,21.8,29.4,97.5,89.2,108.5,0.502,0.533,12.7
PHO,39.3,83.5,60.8,8.5,22.6,30.2,105.0,94.4,109.5,0.522,0.559,13.2
GSW,41.3,88.2,49.4,14.6,38.7,35.1,113.7,102.2,111.1,0.551,0.583,13.3
CHO,40.2,89.8,55.8,11.9,33.9,33.9,110.7,98.7,111.4,0.514,0.554,10.9
MIA,39.6,88.0,55.6,11.3,32.4,35.1,105.7,98.2,107.3,0.515,0.542,13.1
SAC,43.2,93.1,63.2,11.3,29.9,34.4,114.2,103.1,110.4,0.524,0.554,11.5
DET,39.1,86.9,58.0,10.8,28.9,33.6,103.8,96.2,107.2,0.512,0.543,12.3
PHO,38.8,85.8,60.9,8.5,25.0,32.2,102.4,96.3,105.3,0.501,0.537,13.7
BOS,35.5,77.1,62.1,5.5,15.0,31.1,91.8,90.4,101.0,0.496,0.535,14.7
UTA,37.4,80.4,65.0,5.3,15.3,28.5,99.4,91.0,108.1,0.498,0.544,13.5
DAL,40.0,84.3,43.3,15.2,41.0,31.2,114.2,96.6,116.8,0.565,0.599,11.4
MEM,42.8,91.8,60.4,11.2,31.4,35.3,113.3,100.4,112.0,0.528,0.56,11.6
IND,36.6,83.2,62.0,7.5,21.2,34.4,97.3,93.2,103.5,0.484,0.523,13.1
BRK,37.4,83.0,63.1,6.6,19.9,32.0,98.0,92.7,104.4,0.491,0.529,13.0
UTA,35.4,79.2,57.5,7.4,21.7,31.9,95.1,90.4,105.1,0.494,0.531,14.6
ATL,37.3,81.6,55.8,9.4,25.8,31.3,101.0,94.6,105.9,0.515,0.554,14.3
MIL,38.1,87.8,67.4,7.3,20.4,30.9,98.9,94.7,103.6,0.476,0.51,12.7
DEN,39.0,81.9,62.0,6.6,19.9,31.9,104.1,94.2,109.2,0.516,0.556,14.1
UTA,42.5,89.8,52.0,13.3,37.8,34.1,117.1,100.5,115.8,0.547,0.584,13.3
NYK,37.7,86.2,49.3,13.2,36.9,34.6,106.5,95.9,110.4,0.513,0.55,12.0
LAL,42.6,90.5,59.6,10.3,31.0,36.4,111.8,103.2,107.8,0.527,0.554,13.4
DET,39.9,88.8,65.5,7.7,23.4,34.6,101.3,95.0,106.0,0.492,0.521,10.9
MIA,35.2,77.2,57.0,6.8,20.2,30.0,94.7,90.9,103.9,0.5,0.54,14.5
NYK,36.9,82.2,57.3,9.3,24.9,29.7,98.6,90.3,108.3,0.505,0.541,12.5
ORL,34.5,78.2,51.2,10.2,27.0,31.2,94.2,89.0,105.0,0.506,0.533,14.5
IND,36.6,82.8,62.6,7.1,20.2,32.4,99.8,94.7,104.8,0.486,0.533,14.1
NOP,40.2,88.0,55.9,10.6,32.1,33.2,109.3,97.2,112.0,0.517,0.557,12.5
BOS,41.5,88.9,52.5,13.6,36.4,33.6,112.6,98.3,114.0,0.543,0.574,12.5
MIN,41.6,91.3,62.5,10.1,28.7,33.5,112.5,100.2,111.4,0.511,0.552,11.4
CHO,39.0,86.7,59.4,10.0,27.2,35.4,108.2,98.4,109.4,0.508,0.549,11.4
CHO,37.7,85.4,56.7,10.0,28.6,34.8,104.9,95.7,108.8,0.501,0.547,10.7
DEN,38.4,85.9,62.0,8.6,23.9,33.1,104.4,98.1,106.0,0.497,0.536,14.0
DAL,36.3,82.0,59.8,7.5,22.2,32.7,95.8,91.4,103.3,0.489,0.527,13.4
NYK,35.8,80.8,57.5,7.8,23.3,30.5,97.8,93.2,104.4,0.492,0.533,14.9
UTA,38.2,83.8,71.0,4.1,12.8,31.1,99.7,91.4,106.8,0.481,0.525,13.0
GSW,39.6,85.9,64.6,8.4,21.3,28.9,103.4,94.8,108.2,0.51,0.544,13.3
IND,42.0,89.6,52.6,13.6,37.0,31.4,116.3,101.1,114.6,0.545,0.581,13.0
WAS,42.1,86.9,55.2,11.3,31.7,34.2,113.2,98.6,114.4,0.55,0.585,12.7
WAS,40.6,86.0,55.4,10.5,30.6,34.1,108.6,97.0,111.1,0.532,0.568,12.1
BRK,40.4,90.3,52.1,13.1,38.1,37.3,111.8,101.4,108.9,0.52,0.554,13.1
POR,42.2,91.2,57.1,12.9,34.1,35.1,115.0,100.7,113.7,0.533,0.57,11.2
