,Team,PTS,FG,FGA,2PA,3P,3PA,eFG%,Home/Away,ORtg,FTr,3PAr,TS%,FT/FGA,ORtg_opponent,FTr_opponent,3PAr_opponent,TS%_opponent,eFG%_opponent,FT/FGA_opponent
109,ATL,138.0,53.0,108.0,80.0,11.0,28.0,0.542,Away,128.0,0.194,0.259,0.589,0.194,133.6,0.274,0.44,0.765,0.75,0.214
110,DET,138.0,46.0,107.0,70.0,7.0,37.0,0.463,Home,115.0,0.458,0.346,0.537,0.364,109.2,0.318,0.393,0.537,0.486,0.252
111,OKC,138.0,47.0,83.0,59.0,12.0,24.0,0.639,Away,145.2,0.422,0.289,0.701,0.386,135.8,0.408,0.526,0.72,0.658,0.382
112,LAC,138.0,52.0,89.0,51.0,18.0,38.0,0.685,Home,146.4,0.236,0.427,0.702,0.18,106.1,0.341,0.293,0.53,0.5,0.22
113,WAS,138.0,51.0,95.0,61.0,18.0,34.0,0.632,Home,136.5,0.263,0.358,0.651,0.189,116.7,0.267,0.378,0.587,0.544,0.222
114,CHO,138.0,53.0,102.0,54.0,20.0,48.0,0.618,Away,140.2,0.186,0.471,0.625,0.118,110.8,0.286,0.571,0.576,0.56,0.179
115,SAS,138.0,53.0,105.0,68.0,18.0,37.0,0.59,Home,128.6,0.19,0.352,0.606,0.133,133.2,0.457,0.407,0.735,0.685,0.395
116,LAC,138.0,54.0,97.0,62.0,18.0,35.0,0.649,Home,142.5,0.144,0.361,0.669,0.124,90.9,0.092,0.347,0.432,0.423,0.051
117,MIN,138.0,47.0,92.0,45.0,22.0,47.0,0.63,Home,133.7,0.283,0.511,0.667,0.239,115.3,0.175,0.536,0.569,0.541,0.144
118,DEN,138.0,47.0,87.0,54.0,10.0,33.0,0.598,Home,125.0,0.494,0.379,0.651,0.391,117.8,0.287,0.327,0.571,0.545,0.198
119,MIN,138.0,49.0,91.0,44.0,22.0,47.0,0.659,Away,127.6,0.253,0.516,0.682,0.198,93.4,0.244,0.407,0.53,0.483,0.209
120,GSW,138.0,53.0,94.0,52.0,19.0,42.0,0.665,Away,142.6,0.181,0.447,0.68,0.138,99.2,0.207,0.437,0.506,0.483,0.138
121,BRK,138.0,49.0,87.0,55.0,17.0,32.0,0.661,Away,139.2,0.322,0.368,0.695,0.264,113.0,0.383,0.37,0.592,0.537,0.309
122,SAS,138.0,46.0,95.0,56.0,18.0,39.0,0.579,Away,133.9,0.347,0.411,0.63,0.295,106.7,0.319,0.287,0.513,0.495,0.181
123,MIN,138.0,49.0,91.0,50.0,20.0,41.0,0.648,Home,143.2,0.308,0.451,0.668,0.22,98.6,0.422,0.386,0.483,0.404,0.337
124,NYK,138.0,51.0,105.0,60.0,17.0,45.0,0.567,Home,110.0,0.257,0.429,0.59,0.181,106.8,0.197,0.487,0.527,0.5,0.145
125,MEM,137.0,53.0,93.0,51.0,20.0,42.0,0.677,Away,137.9,0.161,0.452,0.688,0.118,114.8,0.12,0.533,0.589,0.571,0.098
126,CHO,137.0,52.0,94.0,59.0,14.0,35.0,0.628,Away,124.3,0.319,0.372,0.639,0.202,121.6,0.302,0.313,0.616,0.578,0.24
127,NYK,137.0,50.0,86.0,47.0,17.0,39.0,0.68,Home,138.4,0.326,0.453,0.697,0.233,116.2,0.333,0.299,0.576,0.523,0.276
128,BOS,137.0,52.0,91.0,47.0,18.0,44.0,0.67,Home,127.1,0.231,0.484,0.683,0.165,86.3,0.186,0.371,0.443,0.412,0.134
129,DAL,137.0,44.0,86.0,53.0,17.0,33.0,0.61,Away,125.6,0.43,0.384,0.67,0.372,117.4,0.243,0.318,0.54,0.528,0.14
130,OKC,137.0,50.0,94.0,57.0,17.0,37.0,0.622,Home,130.7,0.255,0.394,0.655,0.213,122.1,0.18,0.573,0.666,0.64,0.157
131,PHI,137.0,46.0,87.0,60.0,13.0,27.0,0.603,Away,136.6,0.471,0.31,0.652,0.368,124.6,0.169,0.236,0.654,0.624,0.157
132,PHI,137.0,42.0,82.0,44.0,18.0,38.0,0.622,Home,144.6,0.439,0.463,0.7,0.427,140.3,0.355,0.342,0.757,0.737,0.276
133,ATL,137.0,50.0,84.0,55.0,11.0,29.0,0.661,Away,131.7,0.393,0.345,0.695,0.31,126.9,0.157,0.333,0.605,0.593,0.108
134,SAC,137.0,48.0,95.0,52.0,16.0,43.0,0.589,Home,121.0,0.305,0.453,0.636,0.263,100.7,0.3,0.37,0.504,0.46,0.22
135,GSW,137.0,50.0,87.0,40.0,20.0,47.0,0.69,Away,131.7,0.23,0.54,0.715,0.195,109.6,0.33,0.398,0.566,0.523,0.25
136,SAC,137.0,47.0,85.0,50.0,12.0,35.0,0.624,Home,137.1,0.412,0.412,0.682,0.365,129.1,0.258,0.326,0.651,0.612,0.225
137,DAL,137.0,45.0,90.0,51.0,17.0,39.0,0.594,Home,137.5,0.4,0.433,0.647,0.333,96.3,0.304,0.418,0.536,0.487,0.241
138,SAS,137.0,44.0,81.0,50.0,17.0,31.0,0.648,Away,125.4,0.543,0.383,0.683,0.395,122.7,0.212,0.337,0.589,0.543,0.202
139,UTA,137.0,49.0,84.0,48.0,15.0,36.0,0.673,Home,147.4,0.381,0.429,0.698,0.286,108.6,0.189,0.411,0.518,0.5,0.122
140,MIL,137.0,48.0,88.0,50.0,19.0,38.0,0.653,Away,135.3,0.307,0.432,0.686,0.25,111.6,0.167,0.479,0.548,0.51,0.156
141,MIL,137.0,49.0,92.0,42.0,23.0,50.0,0.658,Away,138.0,0.239,0.543,0.674,0.174,108.8,0.247,0.529,0.573,0.565,0.141
142,PHO,137.0,54.0,95.0,54.0,20.0,41.0,0.674,Home,129.5,0.137,0.432,0.68,0.095,100.2,0.28,0.45,0.472,0.41,0.24
143,UTA,137.0,45.0,81.0,30.0,27.0,51.0,0.722,Home,137.7,0.284,0.63,0.752,0.247,130.7,0.242,0.429,0.646,0.593,0.242
144,LAL,137.0,51.0,102.0,58.0,15.0,44.0,0.574,Home,110.8,0.275,0.431,0.599,0.196,114.0,0.242,0.375,0.531,0.508,0.158
145,MIA,137.0,51.0,96.0,61.0,15.0,35.0,0.609,Home,128.9,0.323,0.365,0.625,0.208,89.4,0.345,0.5,0.491,0.452,0.226
146,NYK,136.0,52.0,108.0,68.0,15.0,40.0,0.551,Home,122.8,0.204,0.37,0.578,0.157,127.3,0.427,0.382,0.667,0.624,0.337
147,LAC,136.0,49.0,93.0,58.0,12.0,35.0,0.591,Home,134.1,0.323,0.376,0.64,0.28,123.2,0.258,0.36,0.631,0.607,0.191
148,PHI,136.0,51.0,102.0,80.0,11.0,22.0,0.554,Away,114.5,0.284,0.216,0.593,0.225,110.3,0.304,0.359,0.628,0.609,0.207
149,GSW,136.0,47.0,95.0,48.0,20.0,47.0,0.6,Home,135.6,0.316,0.495,0.628,0.232,124.6,0.376,0.344,0.577,0.532,0.28
150,IND,136.0,53.0,101.0,71.0,14.0,30.0,0.594,Home,127.0,0.218,0.297,0.614,0.158,139.1,0.323,0.269,0.702,0.677,0.247
151,WAS,136.0,51.0,85.0,55.0,15.0,30.0,0.688,Home,138.7,0.306,0.353,0.705,0.224,126.5,0.149,0.376,0.576,0.569,0.089
152,MIN,136.0,54.0,92.0,64.0,12.0,28.0,0.652,Away,130.4,0.25,0.304,0.666,0.174,110.2,0.289,0.227,0.526,0.474,0.237
153,ATL,136.0,50.0,85.0,57.0,15.0,28.0,0.676,Home,134.9,0.271,0.329,0.715,0.247,118.0,0.33,0.398,0.591,0.528,0.295
154,NOP,136.0,48.0,85.0,59.0,14.0,26.0,0.647,Home,141.3,0.4,0.306,0.68,0.306,108.1,0.329,0.512,0.554,0.494,0.28
155,MEM,136.0,52.0,98.0,61.0,16.0,37.0,0.612,Home,134.8,0.204,0.378,0.637,0.163,105.1,0.213,0.371,0.544,0.494,0.202
156,POR,136.0,49.0,88.0,47.0,17.0,41.0,0.653,Home,142.7,0.25,0.466,0.696,0.239,124.9,0.232,0.561,0.658,0.659,0.134
157,SAC,136.0,52.0,97.0,51.0,23.0,46.0,0.655,Home,135.2,0.124,0.474,0.665,0.093,110.3,0.222,0.489,0.562,0.533,0.167
158,LAL,136.0,50.0,82.0,61.0,9.0,21.0,0.665,Away,134.6,0.402,0.256,0.705,0.329,132.6,0.43,0.372,0.655,0.605,0.349
159,BRK,136.0,52.0,100.0,72.0,9.0,28.0,0.565,Away,131.4,0.32,0.28,0.596,0.23,128.5,0.282,0.518,0.696,0.676,0.212
160,MIL,136.0,50.0,106.0,70.0,17.0,36.0,0.552,Away,117.3,0.208,0.34,0.588,0.179,113.9,0.171,0.405,0.553,0.532,0.126
161,ATL,136.0,55.0,97.0,68.0,12.0,29.0,0.629,Away,139.8,0.186,0.299,0.648,0.144,115.1,0.442,0.372,0.545,0.471,0.36
162,MIN,136.0,43.0,86.0,46.0,19.0,40.0,0.61,Away,132.5,0.419,0.465,0.668,0.36,126.7,0.337,0.407,0.658,0.605,0.302
163,ATL,136.0,49.0,91.0,52.0,18.0,39.0,0.637,Away,129.5,0.242,0.429,0.675,0.22,112.4,0.31,0.471,0.597,0.569,0.218
164,SAS,136.0,50.0,90.0,58.0,18.0,32.0,0.656,Away,129.3,0.233,0.356,0.685,0.2,115.0,0.146,0.417,0.552,0.524,0.126
165,DEN,136.0,53.0,88.0,45.0,23.0,43.0,0.733,Away,143.6,0.114,0.489,0.736,0.08,105.6,0.282,0.385,0.57,0.538,0.205
166,MIN,136.0,48.0,92.0,60.0,14.0,32.0,0.598,Home,135.0,0.337,0.348,0.644,0.283,124.1,0.158,0.4,0.615,0.584,0.147
167,POR,136.0,47.0,89.0,48.0,18.0,41.0,0.629,Home,138.9,0.315,0.461,0.671,0.27,133.8,0.273,0.466,0.665,0.625,0.239
168,MIL,136.0,49.0,92.0,44.0,23.0,48.0,0.658,Home,126.4,0.196,0.522,0.681,0.163,105.1,0.316,0.537,0.522,0.495,0.2
169,MIL,136.0,45.0,91.0,58.0,13.0,33.0,0.566,Away,134.3,0.396,0.363,0.636,0.363,116.5,0.31,0.414,0.597,0.557,0.241
170,UTA,136.0,50.0,88.0,34.0,25.0,54.0,0.71,Away,132.1,0.17,0.614,0.719,0.125,101.0,0.179,0.495,0.507,0.489,0.116
171,MEM,136.0,52.0,96.0,55.0,16.0,41.0,0.625,Home,128.2,0.208,0.427,0.649,0.167,96.2,0.274,0.4,0.479,0.437,0.2
172,SAS,136.0,49.0,92.0,60.0,18.0,32.0,0.63,Home,135.9,0.337,0.348,0.644,0.217,116.9,0.176,0.396,0.597,0.571,0.143
173,LAL,135.0,48.0,96.0,62.0,12.0,34.0,0.563,Away,125.0,0.365,0.354,0.606,0.281,123.1,0.344,0.367,0.642,0.606,0.267
174,SAC,135.0,47.0,89.0,50.0,13.0,39.0,0.601,Home,135.7,0.36,0.438,0.655,0.315,127.6,0.326,0.326,0.624,0.59,0.247
175,LAC,135.0,45.0,85.0,56.0,12.0,29.0,0.6,Home,131.8,0.412,0.341,0.672,0.388,126.0,0.163,0.37,0.654,0.641,0.12
176,GSW,135.0,52.0,89.0,49.0,20.0,40.0,0.697,Home,139.7,0.169,0.449,0.706,0.124,130.3,0.263,0.35,0.706,0.675,0.225
177,MIL,135.0,53.0,96.0,53.0,17.0,43.0,0.641,Home,130.5,0.208,0.448,0.644,0.125,106.4,0.226,0.366,0.538,0.511,0.161
178,DET,135.0,48.0,80.0,48.0,17.0,32.0,0.706,Home,135.4,0.35,0.4,0.731,0.275,118.4,0.239,0.375,0.607,0.58,0.182
179,SAC,135.0,45.0,94.0,46.0,19.0,48.0,0.58,Home,127.7,0.33,0.511,0.627,0.277,108.8,0.177,0.427,0.556,0.542,0.115
180,MEM,135.0,52.0,101.0,79.0,14.0,22.0,0.584,Home,125.3,0.248,0.218,0.603,0.168,119.8,0.215,0.318,0.551,0.519,0.168
181,POR,135.0,48.0,84.0,53.0,14.0,31.0,0.655,Home,122.7,0.417,0.369,0.679,0.298,96.3,0.5,0.22,0.53,0.451,0.39
182,IND,135.0,48.0,85.0,54.0,19.0,31.0,0.676,Home,140.8,0.247,0.365,0.716,0.235,131.5,0.208,0.292,0.601,0.583,0.146
183,ORL,135.0,47.0,93.0,57.0,16.0,36.0,0.591,Home,135.4,0.323,0.387,0.636,0.269,124.4,0.307,0.398,0.621,0.568,0.273
184,OKC,135.0,48.0,93.0,67.0,11.0,26.0,0.575,Away,120.0,0.376,0.28,0.623,0.301,113.8,0.337,0.337,0.626,0.584,0.27
185,NYK,135.0,48.0,97.0,66.0,10.0,31.0,0.546,Home,123.7,0.34,0.32,0.605,0.299,132.9,0.227,0.352,0.749,0.722,0.205
186,POR,135.0,48.0,83.0,48.0,16.0,35.0,0.675,Home,143.5,0.373,0.422,0.698,0.277,116.9,0.154,0.341,0.566,0.56,0.088
187,WAS,135.0,49.0,90.0,57.0,17.0,33.0,0.639,Home,138.7,0.244,0.367,0.677,0.222,105.9,0.333,0.487,0.576,0.506,0.308
188,CHI,135.0,50.0,102.0,73.0,10.0,29.0,0.539,Home,125.2,0.314,0.284,0.581,0.245,120.5,0.289,0.4,0.641,0.589,0.267
189,MIL,135.0,47.0,89.0,54.0,18.0,35.0,0.629,Away,126.5,0.36,0.393,0.655,0.258,118.1,0.223,0.457,0.61,0.574,0.191
190,MEM,135.0,54.0,105.0,65.0,15.0,40.0,0.586,Away,129.5,0.19,0.381,0.593,0.114,97.9,0.194,0.306,0.48,0.449,0.143
