Rk,Season,Team,W,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,FTr,eFG%,TS%,TOV%,ORB%,FTr
114,2013-14,TOR,48,82,48,34,.585,3.24,-0.69,2.55,91.8,108.8,105.3,.498,.545,13.2,27.2,.306,.493,.537,14.1,25.1,.315
115,2010-11,POR,48,82,48,34,.585,1.52,0.32,1.85,87.9,108.8,107.1,.486,.533,12.6,29.5,.278,.510,.552,15.4,28.0,.301
116,2022-23,NYK,47,82,47,35,.573,2.93,0.06,2.99,97.1,117.8,114.8,.541,.577,11.4,28.3,.285,.536,.574,11.4,22.9,.269
117,2020-21,DEN,47,72,47,25,.653,4.93,-0.11,4.82,97.1,117.1,112.1,.557,.588,12.1,24.7,.219,.545,.579,12.9,21.1,.258
118,2020-21,LAC,47,72,47,25,.653,6.18,-0.16,6.02,96.9,117.6,111.2,.564,.599,12.2,22.7,.222,.531,.564,11.9,20.9,.239
119,2017-18,SAS,47,82,47,35,.573,2.89,0.00,2.89,95.0,107.9,104.8,.507,.543,12.2,23.7,.245,.507,.539,13.2,21.4,.224
120,2017-18,MIN,47,82,47,35,.573,2.23,0.12,2.35,96.0,113.4,111.1,.523,.566,11.4,24.4,.280,.539,.573,13.9,23.6,.242
121,2016-17,OKC,47,82,47,35,.573,0.76,0.39,1.14,97.8,108.3,107.5,.500,.540,13.2,27.9,.295,.511,.551,12.5,21.0,.285
122,2012-13,GSW,47,82,47,35,.573,0.89,0.42,1.32,94.5,106.4,105.5,.506,.545,14.0,25.4,.255,.486,.526,12.4,24.5,.282
123,2011-12,OKC,47,66,47,19,.712,6.12,0.32,6.44,93.0,109.8,103.2,.516,.567,15.3,27.8,.334,.465,.508,13.0,27.9,.270
124,2021-22,MIN,46,82,46,36,.561,2.63,-0.10,2.53,100.9,114.3,111.7,.539,.573,12.4,24.4,.254,.535,.575,14.2,25.1,.291
125,2021-22,CHI,46,82,46,36,.561,-0.39,0.02,-0.38,98.3,113.2,113.6,.541,.579,11.8,20.4,.248,.541,.577,11.9,21.7,.251
126,2020-21,MIL,46,72,46,26,.639,5.89,-0.32,5.57,102.2,117.2,111.4,.566,.593,12.0,23.3,.233,.536,.565,11.5,20.3,.202
127,2019-20,DEN,46,73,46,27,.630,2.11,0.24,2.35,97.1,113.1,111.0,.535,.567,12.3,24.8,.235,.533,.567,12.9,23.2,.260
128,2017-18,DEN,46,82,46,36,.561,1.48,0.09,1.57,96.8,112.5,111.0,.536,.570,13.4,25.7,.258,.539,.567,12.6,22.5,.235
129,2014-15,WAS,46,82,46,36,.561,0.72,-0.55,0.17,93.7,103.7,103.0,.499,.534,14.0,24.9,.259,.481,.521,12.9,22.7,.284
130,2011-12,MIA,46,66,46,20,.697,5.98,-0.27,5.72,91.2,106.6,100.2,.505,.549,14.5,26.6,.307,.479,.517,15.8,26.1,.277
131,2010-11,MEM,46,82,46,36,.561,2.34,0.20,2.55,91.9,107.6,105.1,.493,.534,13.0,28.9,.291,.502,.545,15.7,27.5,.300
132,2010-11,NOH,46,82,46,36,.561,0.89,0.39,1.28,88.7,106.2,105.2,.493,.537,12.8,25.1,.296,.501,.543,14.4,23.8,.286
133,2022-23,PHO,45,82,45,37,.549,2.07,0.01,2.08,98.2,115.1,113.0,.535,.570,12.0,26.6,.241,.532,.574,12.9,24.0,.298
134,2022-23,BRK,45,82,45,37,.549,0.85,0.18,1.03,98.3,115.0,114.1,.562,.598,12.7,19.6,.260,.530,.567,12.2,26.3,.276
135,2019-20,IND,45,73,45,28,.616,1.96,-0.33,1.63,98.9,110.0,108.0,.534,.565,12.0,20.0,.216,.511,.548,13.0,23.3,.244
136,2015-16,IND,45,82,45,37,.549,1.71,-0.09,1.62,96.6,104.6,102.9,.497,.536,13.5,23.4,.268,.489,.528,14.3,24.0,.273
137,2014-15,NOP,45,82,45,37,.549,0.79,0.34,1.13,91.4,108.2,107.3,.501,.537,12.5,27.1,.263,.496,.533,11.7,24.9,.257
