,Team,Date,PTS,Opp,FG,FGA,2PA,3P,3PA,Opponent_Points
380,SAS,2022-01-28,131,CHI,50,95,58,16,37,122
381,SAC,2022-01-19,131,DET,44,84,57,12,27,133
382,ATL,2022-01-03,131,POR,48,88,47,14,41,136
383,CHI,2021-12-29,131,ATL,52,84,62,10,22,117
384,CHO,2021-12-15,131,SAS,51,86,52,18,34,115
385,BRK,2021-12-14,131,TOR,50,103,64,14,39,129
386,IND,2021-11-01,131,SAS,52,91,53,18,38,118
387,DAL,2023-04-02,130,ATL,49,95,57,10,38,132
388,GSW,2023-03-31,130,SAS,47,93,44,21,49,115
389,NYK,2023-03-31,130,CLE,49,93,57,17,36,116
390,WAS,2023-03-28,130,BOS,54,99,62,13,37,111
391,IND,2023-03-25,130,ATL,52,96,59,14,37,143
392,MEM,2023-03-22,130,HOU,45,87,51,12,36,125
393,MIL,2023-03-22,130,SAS,51,98,55,15,43,94
394,MIA,2023-03-06,130,ATL,41,77,48,16,29,128
395,PHO,2023-03-05,130,DAL,49,89,55,12,34,126
396,MIL,2023-03-04,130,PHI,44,83,49,17,34,133
397,OKC,2023-03-03,130,UTA,52,104,61,17,43,103
398,SAC,2023-02-08,130,HOU,46,92,62,10,30,128
399,LAL,2023-02-07,130,OKC,49,85,54,14,31,133
400,DET,2023-01-26,130,BRK,48,95,68,11,27,122
401,DET,2023-01-23,130,MIL,43,87,55,13,32,150
402,ATL,2023-01-18,130,DAL,49,86,60,13,26,122
403,MIL,2023-01-17,130,TOR,46,86,47,19,39,122
404,BOS,2023-01-16,130,CHO,43,87,44,20,43,118
405,MEM,2023-01-14,130,IND,48,87,55,12,32,112
406,LAL,2023-01-06,130,ATL,51,93,58,16,35,114
407,LAC,2022-12-31,130,IND,43,80,46,16,34,131
408,LAL,2022-12-30,130,ATL,52,96,64,10,32,121
409,OKC,2022-12-27,130,SAS,46,86,62,13,24,114
410,ATL,2022-12-23,130,DET,49,92,58,12,34,105
411,LAL,2022-12-23,130,CHO,48,92,48,19,44,134
412,PHO,2022-12-19,130,LAL,46,93,54,20,39,104
413,DAL,2022-12-16,130,POR,45,81,38,18,43,110
414,DAL,2022-12-05,130,PHO,44,84,43,20,41,111
415,LAL,2022-12-04,130,WAS,52,96,70,10,26,119
416,BOS,2022-11-27,130,WAS,44,80,46,16,34,121
417,SAC,2022-11-17,130,SAS,48,83,53,12,30,112
418,PHO,2022-11-16,130,GSW,44,86,46,21,40,119
419,UTA,2022-11-04,130,LAL,52,103,63,17,40,116
420,MEM,2022-11-04,130,CHO,50,98,62,16,36,99
421,ORL,2022-11-03,130,GSW,42,78,48,13,30,129
422,GSW,2022-10-23,130,SAC,45,87,54,14,33,125
423,NYK,2022-10-21,130,DET,50,95,57,16,38,106
424,NOP,2022-10-19,130,BRK,50,102,76,12,26,108
425,DAL,2022-04-10,130,SAS,46,85,49,20,36,120
426,ATL,2022-04-10,130,HOU,45,87,49,21,38,114
427,DEN,2022-04-01,130,MIN,46,86,51,12,35,136
428,SAS,2022-04-01,130,POR,46,81,44,16,37,111
429,LAC,2022-03-31,130,CHI,45,90,54,16,36,135
430,BRK,2022-03-29,130,DET,42,76,48,15,28,123
431,DEN,2022-03-24,130,PHO,48,81,49,15,32,140
432,NOP,2022-03-13,130,HOU,48,93,61,10,32,105
433,LAL,2022-03-09,130,HOU,47,101,54,18,47,139
434,NOP,2022-03-06,130,DEN,48,101,68,14,33,138
435,ATL,2022-03-03,130,CHI,44,84,44,18,40,124
436,MIL,2022-02-28,130,CHO,40,91,46,18,45,106
437,ATL,2022-02-16,130,ORL,45,90,57,18,33,109
438,MIN,2022-02-01,130,DEN,46,93,48,19,45,115
439,CHI,2022-01-30,130,POR,50,90,58,13,32,116
440,GSW,2022-01-25,130,DAL,49,92,49,17,43,92
441,DEN,2022-01-19,130,LAC,48,98,60,13,38,128
442,OKC,2022-01-13,130,BRK,47,91,46,20,45,109
443,CHI,2022-01-07,130,WAS,48,91,58,15,33,122
444,DAL,2022-01-07,130,HOU,49,90,52,17,38,106
445,CHI,2021-12-27,130,ATL,51,94,57,18,37,118
446,ORL,2021-12-08,130,SAC,48,97,63,16,34,142
447,CHO,2021-12-05,130,ATL,46,86,49,17,37,127
448,BOS,2021-12-03,130,UTA,47,91,52,14,39,137
