Rk,Team,Date,eFG%,,Opp,Result,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA
120,CHI,2021-11-01,.645,@,BOS,W 128-114,131.5,.209,.360,.681,.645,.198,117.1,.208,.344,.544,.516,.156
121,SAC,2022-02-12,.645,@,WAS,W 123-110,130.5,.382,.368,.693,.645,.329,116.7,.239,.432,.566,.540,.170
122,HOU,2022-01-16,.645,@,SAC,W 118-112,113.3,.316,.526,.682,.645,.263,107.5,.264,.418,.551,.516,.198
123,OKC,2022-03-28,.644,@,POR,W 134-131 (OT),125.4,.278,.500,.663,.644,.200,122.6,.116,.446,.556,.545,.080
124,PHO,2022-03-15,.644,@,NOP,W 131-115,134.3,.167,.378,.678,.644,.167,117.9,.279,.395,.595,.570,.198
125,GSW,2022-01-31,.644,@,HOU,W 122-108,124.4,.288,.500,.677,.644,.238,110.1,.345,.512,.558,.524,.238
126,CLE,2022-04-10,.644,,MIL,W 133-115,130.5,.181,.404,.655,.644,.128,112.9,.364,.341,.563,.511,.284
127,GSW,2022-03-14,.643,,WAS,W 126-112,127.9,.262,.536,.673,.643,.214,113.7,.280,.317,.608,.573,.220
128,ATL,2022-02-03,.643,,PHO,W 124-115,124.1,.262,.476,.662,.643,.190,115.1,.205,.364,.599,.574,.159
129,ATL,2022-01-30,.643,,LAL,W 129-121,126.8,.381,.369,.658,.643,.250,118.9,.264,.402,.623,.626,.138
130,DEN,2022-01-15,.643,,LAL,W 133-96,143.4,.187,.440,.675,.643,.176,103.5,.232,.366,.531,.500,.171
131,DAL,2021-12-27,.643,@,POR,W 132-117,132.9,.393,.393,.670,.643,.286,117.8,.512,.488,.582,.500,.427
132,DEN,2021-12-04,.643,@,NYK,W 113-99,127.3,.060,.512,.655,.643,.060,111.5,.239,.455,.509,.466,.193
133,WAS,2021-11-05,.643,,MEM,W 115-87,115.1,.155,.298,.641,.643,.083,87.1,.177,.323,.420,.385,.135
134,BRK,2021-12-27,.642,@,LAC,W 124-108,124.7,.182,.386,.652,.642,.125,108.6,.278,.381,.496,.454,.206
